npc_name,sex,zone,expansion,client_version,dialog_type,quest_id,text,npc_id,race,narrator,portrait,model_id
Bo,2,,vanilla,1.12.1,gossip,,"To the safe hall, your majesty.",,,,,
Bo,2,,vanilla,1.12.1,gossip,,Dragon filth! Guards! Guards! Seize this monster!,,,,,
Bo,2,,vanilla,1.12.1,gossip,,Reginald... I... I am sorry.,,,,,
Bo,2,,vanilla,1.12.1,gossip,,Who dares interfere with the Sons of Arugal?,,,,,
Bo,2,,vanilla,1.12.1,gossip,,"You, too, shall serve!",,,,,
Bo,2,,vanilla,1.12.1,gossip,,Another falls!,,,,,
Bo,2,,vanilla,1.12.1,gossip,,Release your rage!,,,,,
Scarlet Cavalier,0,,vanilla,1.12.1,gossip,,Something is wrong with the Highlord. Do something!,,,,,
Scarlet Cavalier,0,,vanilla,1.12.1,gossip,,"Hey, what is going on over there? Sir, are you alright?",,,,,
Scarlet Cavalier,0,,vanilla,1.12.1,gossip,,What the...,,,,,
Scarlet Cavalier,0,,vanilla,1.12.1,gossip,,Sir?,,,,,
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"What have you done,  Isillien? You once fought with honor, for the good of our people... and now... you have murdered my boy...",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"May your soul burn in anguish, Isillien! Light give me strength to battle this fiend.",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"Face me, coward. Face the faith and strength that you once embodied.",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"A thousand more like him exist. Ten thousand. Should one fall, another will rise to take the seat of power.",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,Look what they did to my boy.,1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"Too long have I sat idle, gripped in this haze... this malaise, lamenting what could have been... what should have been.",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,"Your death will not have been in vain, Taelan. A new Order is born on this day... an Order which will dedicate itself to extinguishing the evil that plagues this world. An evil that cannot hide behind politics and pleasantries.",1855,human,human,human,9477
Tirion Fordring,0,,vanilla,1.12.1,gossip,,This I promise... This I vow...,1855,human,human,human,9477
Deathstalker Faerleia,1,Silverpine_Forest,vanilla,1.12.1,gossip,,"Be ready, $n. I hear the council returning. Prepare to ambush!",2058,undead,undead_female,undead_female,1679
Deathstalker Faerleia,1,Silverpine_Forest,vanilla,1.12.1,gossip,,Well done. A blow to Arugal no doubt!,2058,undead,undead_female,undead_female,1679
Kinelory,1,,vanilla,1.12.1,gossip,,"Well then, let's get this started. The longer we're here, the more damage the undead could be doing back in Hilsbrad.",2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,"All right, this is where we really have to be on our paws. Be ready!",2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,"Attack me if you will, but you won't stop me from getting back to Quae.",2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,Watch my rear! I'll see what I can find in all this junk...,2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,"I bet Quae'll think this is important. She's pretty knowledgeable about these things--no expert, but knowledgeable.",2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,"Okay, let's get out of here quick quick! Try and keep up. I'm going to make a break for it.",2713,night_elf,night_elf_female,night_elf_female,1716
Kinelory,1,,vanilla,1.12.1,gossip,,"We made it! Quae, we made it!",2713,night_elf,night_elf_female,night_elf_female,1716
Archaedas,2,,vanilla,1.12.1,gossip,,Who dares awaken Archaedas? Who dares the wrath of the Makers?,,,,,
Archaedas,2,,vanilla,1.12.1,gossip,,"Awake ye servants, defend the discs!",,,,,
Archaedas,2,,vanilla,1.12.1,gossip,,"To my side, brothers! For the Makers!",,,,,
Archaedas,2,,vanilla,1.12.1,gossip,,Reckless mortal!,,,,,
Grub,0,,vanilla,1.12.1,gossip,,We come from below! You can never stop us!,3443,orc,orc,orc,3857
Gil,2,,vanilla,1.12.1,gossip,,"Stay close, $n. I'll need all the help I can get to break out of here. Let's go!",,,,,
Gil,2,,vanilla,1.12.1,gossip,,At last! Free from Northwatch Hold! I need a moment to catch my breath....,,,,,
Gil,2,,vanilla,1.12.1,gossip,,"Now I feel better. Let's get back to Ratchet. Come on, $n.",,,,,
Gil,2,,vanilla,1.12.1,gossip,,Looks like the Southsea Freebooters are heavily entrenched on the coast. This could get rough.,,,,,
Gil,2,,vanilla,1.12.1,gossip,,Help! $C attacking!,,,,,
Gil,2,,vanilla,1.12.1,gossip,,$C heading this way fast! Time for revenge!,,,,,
Gil,2,,vanilla,1.12.1,gossip,,$C coming right at us!,,,,,
Gil,2,,vanilla,1.12.1,gossip,,Get this $C off of me!,,,,,
Gil,2,,vanilla,1.12.1,gossip,,Almost back to Ratchet! Let's keep up the pace...,,,,,
Gil,2,,vanilla,1.12.1,gossip,,"Ah, the sweet salt air of Ratchet.",,,,,
Gil,2,,vanilla,1.12.1,gossip,,"Captain Brightsun, $n here has freed me! $n, I am certain the Captain will reward your bravery.",,,,,
Pat,2,,vanilla,1.12.1,gossip,,Patchwerk want to play!,,,,,
Pat,2,,vanilla,1.12.1,gossip,,Kel'thuzad make Patchwerk his avatar of war!,,,,,
Pat,2,,vanilla,1.12.1,gossip,,No more play?,,,,,
Pat,2,,vanilla,1.12.1,gossip,,What happened to... Patch...,,,,,
Mist,2,,vanilla,1.12.1,gossip,,"Mist! I feared I would never see you again! Yes, I am well, do not worry for me. You must rest and recover your health.",3568,animal,animal,animal,599
Therylune,2,,vanilla,1.12.1,gossip,,"Ok, let's go!",3584,night_elf,night_elf_female,night_elf_female,2723
Therylune,2,,vanilla,1.12.1,gossip,,"I can make it the rest of the way, $N.  THANKS!",3584,night_elf,night_elf_female,night_elf_female,2723
Forsaken Scout,0,,vanilla,1.12.1,gossip,,A $C! Slaying him would please the master. Attack!,,,,,
Balizar the Umbrage,2,,vanilla,1.12.1,gossip,,"Not quite so sure of yourself without the Purifier, hm?",,,,,
Wolf Master Nandos,2,,vanilla,1.12.1,gossip,,I can't believe it! You've destroyed my pack... Now face my wrath!,,,,,
Herod,0,,vanilla,1.12.1,gossip,,"Ah, I have been waiting for a real challenge!",,,,,
Herod,0,,vanilla,1.12.1,gossip,,Blades of light!,,,,,
Herod,0,,vanilla,1.12.1,gossip,,"Light, give me strength!",,,,,
Herod,0,,vanilla,1.12.1,gossip,,"Hah, is that all?",,,,,
Deathstalker Vincent,0,Stormwind_City,vanilla,1.12.1,gossip,,Arrrgh!,4444,undead,undead,undead,2689
Feero Ironhand,0,,vanilla,1.12.1,gossip,,Let's go $N!,4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,"It looks like we're in trouble. Look lively, here they come!",4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,Assassins from that cult you found... Let's get moving before someone else finds us out here.,4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,Hold! I sense an evil presence... Undead!,4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,They're coming out of the woodwork today. Let's keep moving or we may find more things that want me dead.,4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,These three again?,4484,human,human,human,2594
Feero Ironhand,0,,vanilla,1.12.1,gossip,,I'll finish you off for good this time!,4484,human,human,human,2594
